NAME,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B19001_001E,B19001_002E,B22003_001E,state,county,tract,block group
"Block Group 4, Census Tract 126, Onondaga County, New York",1751,1688,1,0,687,28,,36,067,012600,4
"Block Group 1, Census Tract 112.42, Onondaga County, New York",746,744,2,0,273,0,,36,067,011242,1
"Block Group 1, Census Tract 30, Onondaga County, New York",1056,634,261,5,334,97,,36,067,003000,1
"Block Group 3, Census Tract 144, Onondaga County, New York",968,742,132,14,400,19,,36,067,014400,3
"Block Group 2, Census Tract 51, Onondaga County, New York",796,151,581,17,310,55,,36,067,005100,2
"Block Group 2, Census Tract 43.02, Onondaga County, New York",5557,3897,374,19,54,35,,36,067,004302,2
"Block Group 1, Census Tract 104, Onondaga County, New York",1847,1843,4,0,687,17,,36,067,010400,1
"Block Group 2, Census Tract 54, Onondaga County, New York",566,81,485,0,217,50,,36,067,005400,2
"Block Group 3, Census Tract 113, Onondaga County, New York",1571,1492,44,0,833,37,,36,067,011300,3
"Block Group 2, Census Tract 114.01, Onondaga County, New York",2231,2108,87,0,1155,90,,36,067,011401,2
"Block Group 1, Census Tract 142, Onondaga County, New York",904,660,19,0,388,0,,36,067,014200,1
"Block Group 2, Census Tract 144, Onondaga County, New York",556,372,12,0,215,22,,36,067,014400,2
"Block Group 2, Census Tract 145, Onondaga County, New York",1540,1474,3,0,809,26,,36,067,014500,2
"Block Group 2, Census Tract 52, Onondaga County, New York",750,98,563,35,273,37,,36,067,005200,2
"Block Group 2, Census Tract 61.03, Onondaga County, New York",764,512,252,0,319,46,,36,067,006103,2
"Block Group 2, Census Tract 102, Onondaga County, New York",1473,1417,0,0,504,0,,36,067,010200,2
"Block Group 3, Census Tract 103.01, Onondaga County, New York",1818,1729,15,0,605,17,,36,067,010301,3
"Block Group 1, Census Tract 40, Onondaga County, New York",1398,429,638,46,486,145,,36,067,004000,1
"Block Group 2, Census Tract 147, Onondaga County, New York",1352,1106,0,0,479,0,,36,067,014700,2
"Block Group 3, Census Tract 102, Onondaga County, New York",1012,980,0,12,541,64,,36,067,010200,3
"Block Group 1, Census Tract 144, Onondaga County, New York",752,735,6,0,326,8,,36,067,014400,1
"Block Group 2, Census Tract 36.01, Onondaga County, New York",1447,298,1091,0,486,31,,36,067,003601,2
"Block Group 1, Census Tract 113, Onondaga County, New York",848,801,0,0,320,22,,36,067,011300,1
"Block Group 1, Census Tract 116, Onondaga County, New York",1953,1878,32,0,764,0,,36,067,011600,1
"Block Group 2, Census Tract 162, Onondaga County, New York",1669,1043,428,68,658,33,,36,067,016200,2
"Block Group 3, Census Tract 43.02, Onondaga County, New York",927,642,132,0,443,157,,36,067,004302,3
"Block Group 1, Census Tract 43.01, Onondaga County, New York",1563,750,472,0,531,249,,36,067,004301,1
"Block Group 2, Census Tract 21.01, Onondaga County, New York",593,471,45,0,331,17,,36,067,002101,2
"Block Group 4, Census Tract 137.01, Onondaga County, New York",1088,980,94,0,422,25,,36,067,013701,4
"Block Group 2, Census Tract 5.01, Onondaga County, New York",1123,377,106,0,476,90,,36,067,000501,2
"Block Group 1, Census Tract 156.01, Onondaga County, New York",1473,1360,113,0,582,16,,36,067,015601,1
